plant_type,soil_pct,temperature,humidity,light
money_plant,0.0,30.8,69.2,19.17
snake_plant,0.0,30.8,69.2,19.17
cactus,0.0,30.8,69.2,19.17
money_plant,0.0,31.0,68.8,19.17
snake_plant,0.0,31.0,68.8,19.17
cactus,0.0,31.0,68.8,19.17
money_plant,64.24,32.2,70.9,1224.17
snake_plant,70.39,32.2,70.9,1224.17
cactus,90.11,32.2,70.9,1224.17
money_plant,64.59,32.3,70.6,922.5
snake_plant,70.3,32.3,70.6,922.5
cactus,90.23,32.3,70.6,922.5
money_plant,64.53,32.4,70.2,975.83
snake_plant,70.52,32.4,70.2,975.83
cactus,90.26,32.4,70.2,975.83
money_plant,64.41,32.4,69.7,1192.5
snake_plant,70.08,32.4,69.7,1192.5
cactus,90.62,32.4,69.7,1192.5
money_plant,64.47,32.4,70.0,1619.17
snake_plant,70.49,32.4,70.0,1619.17
cactus,90.35,32.4,70.0,1619.17
money_plant,64.47,32.4,70.0,1564.17
snake_plant,70.58,32.4,70.0,1564.17
cactus,90.35,32.4,70.0,1564.17
money_plant,64.41,32.5,69.8,1663.33
snake_plant,70.52,32.5,69.8,1663.33
cactus,90.47,32.5,69.8,1663.33
money_plant,64.44,32.5,69.8,1613.33
snake_plant,70.99,32.5,69.8,1613.33
cactus,90.32,32.5,69.8,1613.33
money_plant,64.56,32.5,69.7,1186.67
snake_plant,71.36,32.5,69.7,1186.67
cactus,90.32,32.5,69.7,1186.67
money_plant,64.59,32.5,69.7,1305.83
snake_plant,71.86,32.5,69.7,1305.83
cactus,89.8,32.5,69.7,1305.83
money_plant,64.27,32.5,69.3,1391.67
snake_plant,71.99,32.5,69.3,1391.67
cactus,90.29,32.5,69.3,1391.67
money_plant,64.47,32.5,69.4,1576.67
snake_plant,72.14,32.5,69.4,1576.67
cactus,90.08,32.5,69.4,1576.67
money_plant,64.47,32.6,69.3,1525.0
snake_plant,72.58,32.6,69.3,1525.0
cactus,90.2,32.6,69.3,1525.0
money_plant,63.91,32.7,68.9,1510.83
snake_plant,72.61,32.7,68.9,1510.83
cactus,89.98,32.7,68.9,1510.83
money_plant,64.0,32.6,67.9,1170.0
snake_plant,72.99,32.6,67.9,1170.0
cactus,90.11,32.6,67.9,1170.0
money_plant,64.0,32.5,69.4,839.17
snake_plant,73.18,32.5,69.4,839.17
cactus,90.11,32.5,69.4,839.17
money_plant,64.06,32.4,69.8,720.0
snake_plant,72.99,32.4,69.8,720.0
cactus,89.89,32.4,69.8,720.0
money_plant,63.97,32.4,69.6,704.17
snake_plant,73.58,32.4,69.6,704.17
cactus,89.74,32.4,69.6,704.17
money_plant,64.0,32.3,69.8,550.0
snake_plant,74.02,32.3,69.8,550.0
cactus,88.25,32.3,69.8,550.0
money_plant,64.39,32.2,70.1,455.0
snake_plant,74.43,32.2,70.1,455.0
cactus,89.65,32.2,70.1,455.0
money_plant,64.3,32.1,69.2,227.5
snake_plant,68.04,32.1,69.2,227.5
cactus,89.59,32.1,69.2,227.5
money_plant,64.12,32.1,70.3,161.67
snake_plant,74.68,32.1,70.3,161.67
cactus,89.59,32.1,70.3,161.67
money_plant,65.54,32.1,70.3,155.83
snake_plant,74.8,32.1,70.3,155.83
cactus,89.38,32.1,70.3,155.83
money_plant,64.06,32.0,70.4,152.5
snake_plant,74.93,32.0,70.4,152.5
cactus,89.32,32.0,70.4,152.5
money_plant,64.33,31.9,70.4,149.17
snake_plant,75.68,31.9,70.4,149.17
cactus,88.77,31.9,70.4,149.17
money_plant,64.44,32.0,70.3,150.0
snake_plant,75.93,32.0,70.3,150.0
cactus,88.47,32.0,70.3,150.0
money_plant,64.3,31.9,70.4,170.0
snake_plant,75.99,31.9,70.4,170.0
cactus,88.44,31.9,70.4,170.0
money_plant,64.36,31.8,70.5,195.0
snake_plant,76.18,31.8,70.5,195.0
cactus,88.35,31.8,70.5,195.0
money_plant,64.41,31.9,70.5,216.67
snake_plant,76.37,31.9,70.5,216.67
cactus,88.13,31.9,70.5,216.67
money_plant,64.41,31.8,70.5,236.67
snake_plant,76.06,31.8,70.5,236.67
cactus,87.77,31.8,70.5,236.67
money_plant,64.36,31.9,70.2,260.83
snake_plant,76.43,31.9,70.2,260.83
cactus,87.65,31.9,70.2,260.83
money_plant,64.3,31.9,70.3,280.83
snake_plant,76.65,31.9,70.3,280.83
cactus,87.37,31.9,70.3,280.83
money_plant,64.03,31.9,70.3,310.83
snake_plant,76.74,31.9,70.3,310.83
cactus,87.28,31.9,70.3,310.83
money_plant,64.15,32.0,70.4,360.0
snake_plant,76.59,32.0,70.4,360.0
cactus,87.22,32.0,70.4,360.0
money_plant,63.97,32.0,70.2,398.33
snake_plant,76.68,32.0,70.2,398.33
cactus,87.1,32.0,70.2,398.33
money_plant,64.36,32.1,70.1,501.67
snake_plant,77.03,32.1,70.1,501.67
cactus,86.89,32.1,70.1,501.67
money_plant,64.0,32.1,69.9,737.5
snake_plant,77.06,32.1,69.9,737.5
cactus,86.8,32.1,69.9,737.5
money_plant,64.24,32.1,69.7,778.33
snake_plant,76.93,32.1,69.7,778.33
cactus,86.59,32.1,69.7,778.33
money_plant,64.24,32.3,69.4,884.17
snake_plant,77.37,32.3,69.4,884.17
cactus,86.46,32.3,69.4,884.17
money_plant,64.09,32.3,69.0,834.17
snake_plant,77.18,32.3,69.0,834.17
cactus,86.74,32.3,69.0,834.17
money_plant,63.94,32.4,68.7,717.5
snake_plant,80.13,32.4,68.7,717.5
cactus,86.31,32.4,68.7,717.5
money_plant,64.12,32.4,68.6,674.17
snake_plant,77.53,32.4,68.6,674.17
cactus,86.01,32.4,68.6,674.17
money_plant,63.88,32.5,68.5,768.33
snake_plant,77.31,32.5,68.5,768.33
cactus,86.37,32.5,68.5,768.33
money_plant,63.82,32.6,68.3,916.67
snake_plant,77.37,32.6,68.3,916.67
cactus,86.1,32.6,68.3,916.67
money_plant,63.53,32.7,68.1,1135.0
snake_plant,77.37,32.7,68.1,1135.0
cactus,85.95,32.7,68.1,1135.0
money_plant,63.32,32.8,68.1,1338.33
snake_plant,77.37,32.8,68.1,1338.33
cactus,86.19,32.8,68.1,1338.33
money_plant,63.44,32.7,67.9,1296.67
snake_plant,77.65,32.7,67.9,1296.67
cactus,86.01,32.7,67.9,1296.67
money_plant,63.11,32.7,68.4,1105.0
snake_plant,77.59,32.7,68.4,1105.0
cactus,85.86,32.7,68.4,1105.0
money_plant,63.02,32.8,68.5,963.33
snake_plant,77.59,32.8,68.5,963.33
cactus,85.71,32.8,68.5,963.33
money_plant,65.07,32.8,68.6,920.0
snake_plant,77.78,32.8,68.6,920.0
cactus,85.71,32.8,68.6,920.0
money_plant,62.81,32.8,68.4,851.67
snake_plant,77.59,32.8,68.4,851.67
cactus,85.43,32.8,68.4,851.67
money_plant,62.58,32.9,68.1,1164.17
snake_plant,77.81,32.9,68.1,1164.17
cactus,85.34,32.9,68.1,1164.17
money_plant,62.34,33.0,67.6,1419.17
snake_plant,77.75,33.0,67.6,1419.17
cactus,84.4,33.0,67.6,1419.17
money_plant,62.07,33.1,67.7,1449.17
snake_plant,80.13,33.1,67.7,1449.17
cactus,85.1,33.1,67.7,1449.17
money_plant,62.16,33.1,67.5,1309.17
snake_plant,78.12,33.1,67.5,1309.17
cactus,84.95,33.1,67.5,1309.17
money_plant,61.99,33.1,67.0,1176.67
snake_plant,79.03,33.1,67.0,1176.67
cactus,84.95,33.1,67.0,1176.67
money_plant,61.78,33.2,67.1,1241.67
snake_plant,79.19,33.2,67.1,1241.67
cactus,85.28,33.2,67.1,1241.67
money_plant,61.45,33.2,66.9,1321.67
snake_plant,79.44,33.2,66.9,1321.67
cactus,85.04,33.2,66.9,1321.67
money_plant,61.63,33.2,66.7,1324.17
snake_plant,79.53,33.2,66.7,1324.17
cactus,85.04,33.2,66.7,1324.17
money_plant,60.89,33.2,66.9,1369.17
snake_plant,80.13,33.2,66.9,1369.17
cactus,84.98,33.2,66.9,1369.17
money_plant,61.27,33.2,66.8,1374.17
snake_plant,80.13,33.2,66.8,1374.17
cactus,85.01,33.2,66.8,1374.17
money_plant,61.04,33.2,66.2,1331.67
snake_plant,80.13,33.2,66.2,1331.67
cactus,84.86,33.2,66.2,1331.67
money_plant,60.8,33.3,65.1,1229.17
snake_plant,81.88,33.3,65.1,1229.17
cactus,84.67,33.3,65.1,1229.17
money_plant,60.68,33.3,65.2,1215.0
snake_plant,80.44,33.3,65.2,1215.0
cactus,84.55,33.3,65.2,1215.0
money_plant,60.0,33.3,64.9,1261.67
snake_plant,80.59,33.3,64.9,1261.67
cactus,84.46,33.3,64.9,1261.67
money_plant,60.0,33.3,64.2,1295.83
snake_plant,80.59,33.3,64.2,1295.83
cactus,84.52,33.3,64.2,1295.83
money_plant,59.7,33.3,64.9,1251.67
snake_plant,80.59,33.3,64.9,1251.67
cactus,84.43,33.3,64.9,1251.67
money_plant,59.5,33.3,64.9,1229.17
snake_plant,80.59,33.3,64.9,1229.17
cactus,84.43,33.3,64.9,1229.17
money_plant,58.9,33.3,64.9,1220.83
snake_plant,80.75,33.3,64.9,1220.83
cactus,84.37,33.3,64.9,1220.83
money_plant,58.79,33.3,64.2,1204.17
snake_plant,80.59,33.3,64.2,1204.17
cactus,84.19,33.3,64.2,1204.17
money_plant,58.34,33.5,64.7,1208.33
snake_plant,80.88,33.5,64.7,1208.33
cactus,84.1,33.5,64.7,1208.33
money_plant,58.19,33.4,63.9,1100.83
snake_plant,81.13,33.4,63.9,1100.83
cactus,84.13,33.4,63.9,1100.83
money_plant,57.9,33.4,64.1,1126.67
snake_plant,81.1,33.4,64.1,1126.67
cactus,83.95,33.4,64.1,1126.67
money_plant,57.33,33.4,64.1,1121.67
snake_plant,81.47,33.4,64.1,1121.67
cactus,83.92,33.4,64.1,1121.67
money_plant,56.5,33.4,64.1,1050.83
snake_plant,81.6,33.4,64.1,1050.83
cactus,83.98,33.4,64.1,1050.83
money_plant,56.68,33.4,64.3,1032.5
snake_plant,81.5,33.4,64.3,1032.5
cactus,83.85,33.4,64.3,1032.5
money_plant,56.39,33.5,63.6,947.5
snake_plant,81.6,33.5,63.6,947.5
cactus,83.82,33.5,63.6,947.5
money_plant,55.79,33.5,64.3,946.67
snake_plant,81.97,33.5,64.3,946.67
cactus,83.76,33.5,64.3,946.67
money_plant,55.44,33.5,64.0,935.83
snake_plant,82.03,33.5,64.0,935.83
cactus,83.58,33.5,64.0,935.83
money_plant,54.7,33.5,63.8,953.33
snake_plant,82.0,33.5,63.8,953.33
cactus,83.52,33.5,63.8,953.33
money_plant,54.4,33.5,64.2,963.33
snake_plant,82.19,33.5,64.2,963.33
cactus,83.43,33.5,64.2,963.33
money_plant,54.07,33.5,64.3,928.33
snake_plant,82.13,33.5,64.3,928.33
cactus,83.4,33.5,64.3,928.33
money_plant,53.57,33.4,64.4,882.5
snake_plant,82.38,33.4,64.4,882.5
cactus,83.34,33.4,64.4,882.5
money_plant,53.45,33.4,64.5,842.5
snake_plant,82.07,33.4,64.5,842.5
cactus,83.49,33.4,64.5,842.5
money_plant,52.92,33.4,64.7,667.5
snake_plant,82.1,33.4,64.7,667.5
cactus,82.22,33.4,64.7,667.5
