_id,temperature,humidity,light,soil1_raw,soil1_pct,soil2_raw,soil2_pct,soil3_raw,soil3_pct,plant1_type,plant2_type,plant3_type,is_valid,timestamp
69d3ac644e71d8e43e89f0e7,30.8,69.2,19.17,4095,0,4095,0,4095,0,money_plant,snake_plant,cactus,true,2026-04-06T18:21:48.595Z
69d3aca14e71d8e43e89f0e8,31,68.8,19.17,4095,0,4095,0,4095,0,money_plant,snake_plant,cactus,true,2026-04-06T18:22:49.058Z
69d4825b1bcbf6f20b8edf0b,32.2,70.9,1224.17,1927,64.24,1846,70.39,1126,90.11,money_plant,snake_plant,cactus,true,2026-04-07T09:34:43.401Z
69d482971bcbf6f20b8edf0c,32.3,70.6,922.5,1915,64.59,1849,70.3,1122,90.23,money_plant,snake_plant,cactus,true,2026-04-07T09:35:43.920Z
69d482d41bcbf6f20b8edf0d,32.4,70.2,975.83,1917,64.53,1842,70.52,1121,90.26,money_plant,snake_plant,cactus,true,2026-04-07T09:36:44.463Z
69d483141bcbf6f20b8edf0e,32.4,69.7,1192.5,1921,64.41,1856,70.08,1109,90.62,money_plant,snake_plant,cactus,true,2026-04-07T09:37:48.338Z
69d483531bcbf6f20b8edf0f,32.4,70,1619.17,1919,64.47,1843,70.49,1118,90.35,money_plant,snake_plant,cactus,true,2026-04-07T09:38:51.520Z
69d483901bcbf6f20b8edf10,32.4,70,1564.17,1919,64.47,1840,70.58,1118,90.35,money_plant,snake_plant,cactus,true,2026-04-07T09:39:52.039Z
69d483cc1bcbf6f20b8edf11,32.5,69.8,1663.33,1921,64.41,1842,70.52,1114,90.47,money_plant,snake_plant,cactus,true,2026-04-07T09:40:52.563Z
69d484091bcbf6f20b8edf12,32.5,69.8,1613.33,1920,64.44,1827,70.99,1119,90.32,money_plant,snake_plant,cactus,true,2026-04-07T09:41:53.076Z
69d4844b1bcbf6f20b8edf13,32.5,69.7,1186.67,1916,64.56,1815,71.36,1119,90.32,money_plant,snake_plant,cactus,true,2026-04-07T09:42:59.221Z
69d484891bcbf6f20b8edf14,32.5,69.7,1305.83,1915,64.59,1799,71.86,1136,89.8,money_plant,snake_plant,cactus,true,2026-04-07T09:44:01.797Z
69d484c61bcbf6f20b8edf15,32.5,69.3,1391.67,1926,64.27,1795,71.99,1120,90.29,money_plant,snake_plant,cactus,true,2026-04-07T09:45:02.310Z
69d485021bcbf6f20b8edf16,32.5,69.4,1576.67,1919,64.47,1790,72.14,1127,90.08,money_plant,snake_plant,cactus,true,2026-04-07T09:46:02.840Z
69d4853f1bcbf6f20b8edf17,32.6,69.3,1525,1919,64.47,1776,72.58,1123,90.2,money_plant,snake_plant,cactus,true,2026-04-07T09:47:03.345Z
69d4857d1bcbf6f20b8edf18,32.7,68.9,1510.83,1938,63.91,1775,72.61,1130,89.98,money_plant,snake_plant,cactus,true,2026-04-07T09:48:05.058Z
69d485b81bcbf6f20b8edf19,32.6,67.9,1170,1935,64,1763,72.99,1126,90.11,money_plant,snake_plant,cactus,true,2026-04-07T09:49:04.435Z
69d485fa1bcbf6f20b8edf1a,32.5,69.4,839.17,1935,64,1757,73.18,1126,90.11,money_plant,snake_plant,cactus,true,2026-04-07T09:50:10.237Z
69d486361bcbf6f20b8edf1b,32.4,69.8,720,1933,64.06,1763,72.99,1133,89.89,money_plant,snake_plant,cactus,true,2026-04-07T09:51:10.749Z
69d486741bcbf6f20b8edf1c,32.4,69.6,704.17,1936,63.97,1744,73.58,1138,89.74,money_plant,snake_plant,cactus,true,2026-04-07T09:52:12.086Z
69d486b11bcbf6f20b8edf1d,32.3,69.8,550,1935,64,1730,74.02,1187,88.25,money_plant,snake_plant,cactus,true,2026-04-07T09:53:13.430Z
69d486ed1bcbf6f20b8edf1e,32.2,70.1,455,1922,64.39,1717,74.43,1141,89.65,money_plant,snake_plant,cactus,true,2026-04-07T09:54:13.948Z
69d4872d1bcbf6f20b8edf1f,32.1,69.2,227.5,1925,64.3,1921,68.04,1143,89.59,money_plant,snake_plant,cactus,true,2026-04-07T09:55:17.436Z
69d4876d1bcbf6f20b8edf20,32.1,70.3,161.67,1931,64.12,1709,74.68,1143,89.59,money_plant,snake_plant,cactus,true,2026-04-07T09:56:21.947Z
69d487ab1bcbf6f20b8edf21,32.1,70.3,155.83,1883,65.54,1705,74.8,1150,89.38,money_plant,snake_plant,cactus,true,2026-04-07T09:57:23.795Z
69d487e81bcbf6f20b8edf22,32,70.4,152.5,1933,64.06,1701,74.93,1152,89.32,money_plant,snake_plant,cactus,true,2026-04-07T09:58:24.311Z
69d488261bcbf6f20b8edf23,31.9,70.4,149.17,1924,64.33,1677,75.68,1170,88.77,money_plant,snake_plant,cactus,true,2026-04-07T09:59:26.326Z
69d488621bcbf6f20b8edf24,32,70.3,150,1920,64.44,1669,75.93,1180,88.47,money_plant,snake_plant,cactus,true,2026-04-07T10:00:26.789Z
69d4889f1bcbf6f20b8edf25,31.9,70.4,170,1925,64.3,1667,75.99,1181,88.44,money_plant,snake_plant,cactus,true,2026-04-07T10:01:27.310Z
69d488db1bcbf6f20b8edf26,31.8,70.5,195,1923,64.36,1661,76.18,1184,88.35,money_plant,snake_plant,cactus,true,2026-04-07T10:02:27.864Z
69d4891a1bcbf6f20b8edf27,31.9,70.5,216.67,1921,64.41,1655,76.37,1191,88.13,money_plant,snake_plant,cactus,true,2026-04-07T10:03:30.427Z
69d489561bcbf6f20b8edf28,31.8,70.5,236.67,1921,64.41,1665,76.06,1203,87.77,money_plant,snake_plant,cactus,true,2026-04-07T10:04:30.918Z
69d489931bcbf6f20b8edf29,31.9,70.2,260.83,1923,64.36,1653,76.43,1207,87.65,money_plant,snake_plant,cactus,true,2026-04-07T10:05:31.440Z
